"SOFIA ID","FAO Area","ISSCAAP group","Stock of species group","Scientific name","Countries","Management Agency/Advisory board","Total Landings 1000s tons","Total Landings Year","Percentage of landings ""assessed""","Weighted Status (U, F, O)","Weighting Method","Rationale for combined assessment"
NA,27,"23","Atlantic salmon","Salmo salar","Sweden, Russian Federation, Finland, Denmark","ICES",625,"2015",NA,NA,NA,NA
NA,27,"31","European plaice","Pleuronectes platessa","United Kingdom, Netherlands, Denmark, Belgium","ICES",107585,"2015",NA,NA,NA,NA
NA,27,"32","Atlantic cod","Gadus morhua","Russian Federation, Norway, Iceland, Faroe Islands","ICES",1242400,"2015",NA,NA,NA,NA
NA,27,"32","Blue whiting(=Poutassou)","Micromesistius poutassou","Russian Federation, Norway, Iceland, Faroe Islands","ICES",1411879,"2015",NA,NA,NA,NA
NA,27,"32","Haddock","Melanogrammus aeglefinus","United Kingdom, Russian Federation, Norway, Iceland","ICES",284561,"2015",NA,NA,NA,NA
NA,27,"32","Norway pout","Trisopterus esmarkii","Sweden, Norway, Faroe Islands, Denmark","ICES",64056,"2015",NA,NA,NA,NA
NA,27,"32","Polar cod","Boreogadus saida","Russian Federation","ICES",2,"2015",NA,NA,NA,NA
NA,27,"32","Saithe(=Pollock)","Pollachius virens","Norway, Iceland, France, Faroe Islands","ICES",286592,"2015",NA,NA,NA,NA
NA,27,"32","Whiting","Merlangius merlangus","United Kingdom, Ireland, France, Denmark","ICES",38136,"2015",NA,NA,NA,NA
NA,27,"33","Sandeels(=Sandlances) nei","Ammodytes spp","Sweden, Norway, Germany, Denmark","ICES",319419,"2015",NA,NA,NA,NA
NA,27,"34","Atlantic redfishes nei","Sebastes spp","Iceland, Greenland, Germany, Faroe Islands","ICES",59275,"2015",NA,NA,NA,NA
NA,27,"35","Atlantic herring","Clupea harengus","Norway, Iceland, Finland, Denmark","ICES",1313683,"2015",NA,NA,NA,NA
NA,27,"35","European pilchard(=Sardine)","Sardina pilchardus","United Kingdom, Spain, Portugal, France","ICES",64055,"2015",NA,NA,NA,NA
NA,27,"35","European sprat","Sprattus sprattus","Sweden, Russian Federation, Poland, Denmark","ICES",567850,"2015",NA,NA,NA,NA
NA,27,"37","Atlantic horse mackerel","Trachurus trachurus","Spain, Portugal, Netherlands, Ireland","ICES",130185,"2015",NA,NA,NA,NA
NA,27,"37","Atlantic mackerel","Scomber scombrus","United Kingdom, Russian Federation, Norway, Iceland","ICES",1202687,"2015",NA,NA,NA,NA
NA,27,"37","Capelin","Mallotus villosus","Russian Federation, Norway, Iceland, Greenland","ICES",592151,"2015",NA,NA,NA,NA
NA,27,"54","Blue mussel","Mytilus edulis","United Kingdom, Germany, France, Denmark","ICES",51805,"2015",NA,NA,NA,NA
