"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187"
"FAO Area","27","27","27",NA,"27","27","27","27","27","27","27","27","27","27","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","27","27","27","27","27","27","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","27","27","27","27","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27",NA,NA,"27","27","27","27","27","27","27","27",NA,"27","27","27","27",NA,"27","27","27","27"
"ISSCAAP group","23","23","23","23","23 Total","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31 Total","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32","32 Total","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33 Total","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34 Total","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35 Total","37","37","37","37","37","37","37","37","37 Total","45","45","45","45","45 Total","54","54","54 Total"
"Stock of species group","Atlantic salmon","Atlantic salmon","Other Salmons, trouts, smelts","Sea trout","23-Salmons, trouts, smelts","European plaice","European plaice","European plaice","European plaice","European plaice","European plaice","European plaice","European plaice","European plaice","European plaice","Other Flounders, halibuts, soles","Greenland halibut","Greenland halibut","Witch flounder","Common dab","Common dab","Lemon sole","European flounder","European flounder","European flounder","European flounder","European flounder","Common sole","Common sole","Common sole","Common sole","Common sole","Common sole","Common sole","Common sole","Common sole","Common sole","Megrim","Megrim","Four-spot megrim","Four-spot megrim","Megrims nei","Megrims nei","Brill","Brill","Turbot","Turbot","Turbot","31-Flounders, halibuts, soles","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Atlantic cod","Blue whiting(=Poutassou)","Haddock","Haddock","Haddock","Haddock","Haddock","Haddock","Haddock","Norway pout","Polar cod","Saithe(=Pollock)","Saithe(=Pollock)","Saithe(=Pollock)","Saithe(=Pollock)","Whiting","Whiting","Whiting","Whiting","Whiting","Whiting","Whiting","Other Cods, hakes, haddocks","Tusk(=Cusk)","Tusk(=Cusk)","Tusk(=Cusk)","Tusk(=Cusk)","Tusk(=Cusk)","Ling","Ling","Ling","Ling","Blue ling","Blue ling","Blue ling","Greater forkbeard","Pollack","Pollack","Pollack","European hake","European hake","Roughhead grenadier","Roundnose grenadier","Roundnose grenadier","Roundnose grenadier","Roundnose grenadier","Roughsnout grenadier","32-Cods, hakes, haddocks","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Sandeels(=Sandlances) nei","Other Miscellaneous coastal fishes","European seabass","European seabass","European seabass","European seabass","Blackspot(=red) seabream","Blackspot(=red) seabream","Blackspot(=red) seabream","Surmullet","Surmullet","33-Miscellaneous coastal fishes","Atlantic redfishes nei","Atlantic redfishes nei","Atlantic redfishes nei","Atlantic redfishes nei","Atlantic redfishes nei","Other Miscellaneous demersal fishes","Greater argentine","Greater argentine","Greater argentine","Greater argentine","Alfonsinos nei","Orange roughy","Boarfish","Black scabbardfish","Red gurnard","Grey gurnard","Angler(=Monk)","Angler(=Monk)","Blackbellied angler","Blackbellied angler","Anglerfishes nei","34-Miscellaneous demersal fishes","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","Atlantic herring","European pilchard(=Sardine)","European sprat","European sprat","European sprat","European sprat","European sprat","Other Herrings, sardines, anchovies","European anchovy","European anchovy","35-Herrings, sardines, anchovies","Atlantic horse mackerel","Atlantic horse mackerel","Atlantic horse mackerel","Atlantic mackerel","Capelin","Capelin","Other Miscellaneous pelagic fishes","Blue jack mackerel","37-Miscellaneous pelagic fishes","Northern prawn","Northern prawn","Other Shrimps, prawns","Pandalus shrimps nei","45-Shrimps, prawns","Blue mussel","Other Mussels","54-Mussels"
"Scientific name","Salmo salar","Salmo salar",NA,"Salmo trutta",NA,"Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa","Pleuronectes platessa",NA,"Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Glyptocephalus cynoglossus","Limanda limanda","Limanda limanda","Microstomus kitt","Platichthys flesus","Platichthys flesus","Platichthys flesus","Platichthys flesus","Platichthys flesus","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Solea solea","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Lepidorhombus boscii","Lepidorhombus boscii","Lepidorhombus spp","Lepidorhombus spp","Scophthalmus rhombus","Scophthalmus rhombus","Psetta maxima","Psetta maxima","Psetta maxima",NA,"Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Gadus morhua","Micromesistius poutassou","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Trisopterus esmarkii","Boreogadus saida","Pollachius virens","Pollachius virens","Pollachius virens","Pollachius virens","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Merlangius merlangus",NA,"Brosme brosme","Brosme brosme","Brosme brosme","Brosme brosme","Brosme brosme","Molva molva","Molva molva","Molva molva","Molva molva","Molva dypterygia","Molva dypterygia","Molva dypterygia","Phycis blennoides","Pollachius pollachius","Pollachius pollachius","Pollachius pollachius","Merluccius merluccius","Merluccius merluccius","Macrourus berglax","Coryphaenoides rupestris","Coryphaenoides rupestris","Coryphaenoides rupestris","Coryphaenoides rupestris","Trachyrincus scabrus",NA,"Ammodytes spp","Ammodytes spp","Ammodytes spp","Ammodytes spp","Ammodytes spp","Ammodytes spp","Ammodytes spp",NA,"Dicentrarchus labrax","Dicentrarchus labrax","Dicentrarchus labrax","Dicentrarchus labrax","Pagellus bogaraveo","Pagellus bogaraveo","Pagellus bogaraveo","Mullus surmuletus","Mullus surmuletus",NA,"Sebastes spp","Sebastes spp","Sebastes spp","Sebastes spp","Sebastes spp",NA,"Argentina silus","Argentina silus","Argentina silus","Argentina silus","Beryx spp","Hoplostethus atlanticus","Capros aper","Aphanopus carbo","Aspitrigla cuculus","Eutrigla gurnardus","Lophius piscatorius","Lophius piscatorius","Lophius budegassa","Lophius budegassa","Lophiidae",NA,"Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Clupea harengus","Sardina pilchardus","Sprattus sprattus","Sprattus sprattus","Sprattus sprattus","Sprattus sprattus","Sprattus sprattus",NA,"Engraulis encrasicolus","Engraulis encrasicolus",NA,"Trachurus trachurus","Trachurus trachurus","Trachurus trachurus","Scomber scombrus","Mallotus villosus","Mallotus villosus",NA,"Trachurus picturatus",NA,"Pandalus borealis","Pandalus borealis",NA,"Pandalus spp",NA,"Mytilus edulis",NA,NA
"Countries","Sweden, Russian Federation, Finland, Denmark","Sweden, Russian Federation, Finland, Denmark",NA,NA,NA,"United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium","United Kingdom, Netherlands, Denmark, Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","Russian Federation, Norway, Iceland, Faroe Islands","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","United Kingdom, Russian Federation, Norway, Iceland","Sweden, Norway, Faroe Islands, Denmark","Russian Federation","Norway, Iceland, France, Faroe Islands","Norway, Iceland, France, Faroe Islands","Norway, Iceland, France, Faroe Islands","Norway, Iceland, France, Faroe Islands","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark","United Kingdom, Ireland, France, Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark","Sweden, Norway, Germany, Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iceland, Greenland, Germany, Faroe Islands","Iceland, Greenland, Germany, Faroe Islands","Iceland, Greenland, Germany, Faroe Islands","Iceland, Greenland, Germany, Faroe Islands","Iceland, Greenland, Germany, Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","Norway, Iceland, Finland, Denmark","United Kingdom, Spain, Portugal, France","Sweden, Russian Federation, Poland, Denmark","Sweden, Russian Federation, Poland, Denmark","Sweden, Russian Federation, Poland, Denmark","Sweden, Russian Federation, Poland, Denmark","Sweden, Russian Federation, Poland, Denmark",NA,NA,NA,NA,"Spain, Portugal, Netherlands, Ireland","Spain, Portugal, Netherlands, Ireland","Spain, Portugal, Netherlands, Ireland","United Kingdom, Russian Federation, Norway, Iceland","Russian Federation, Norway, Iceland, Greenland","Russian Federation, Norway, Iceland, Greenland",NA,NA,NA,"Norway, Iceland, Faroe Islands, Estonia","Norway, Iceland, Faroe Islands, Estonia",NA,NA,NA,"United Kingdom, Germany, France, Denmark",NA,NA
"Management Agency/Advisory board","ICES","ICES","ICES",NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,NA,"ICES","ICES","ICES","ICES","ICES","ICES","ICES","ICES",NA,"ICES","ICES","ICES","ICES",NA,"ICES","ICES","ICES","ICES"
"Total Landings 1000s tons","    625","    625","   7348",NA,"   7973"," 107585"," 107585"," 107585"," 107585"," 107585"," 107585"," 107585"," 107585"," 107585"," 107585"," 149823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 257408","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1242400","1411879"," 284561"," 284561"," 284561"," 284561"," 284561"," 284561"," 284561","  64056","      2"," 286592"," 286592"," 286592"," 286592","  38136","  38136","  38136","  38136","  38136","  38136","  38136"," 198387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3526013"," 319419"," 319419"," 319419"," 319419"," 319419"," 319419"," 319419","  40160",NA,NA,NA,NA,NA,NA,NA,NA,NA," 359579","  59275","  59275","  59275","  59275","  59275"," 264330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 323605","1313683","1313683","1313683","1313683","1313683","1313683","1313683","1313683","1313683","1313683","  64055"," 567850"," 567850"," 567850"," 567850"," 567850","  45505",NA,NA,"1991093"," 130185"," 130185"," 130185","1202687"," 592151"," 592151","  23604",NA,"1948627","  50771","  50771","  37926",NA,"  88697","  51805",NA,"  51805"
"Total Landings Year","2015","2015","2015",NA,"2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","2015","2015","2015","2015","2015","2015","2015","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","2015","2015","2015","2015","2015","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015",NA,NA,"2015","2015","2015","2015","2015","2015","2015","2015",NA,"2015","2015","2015","2015",NA,"2015","2015","2015","2015"
"Percentage of landings ""assessed""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Weighted Status (U, F, O)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
